,STATION_NAME,DATE,TMAX,TMIN
0,PETERSBURG 2 N ND US,20100101,-178,-311
1,PETERSBURG 2 N ND US,20100102,-244,-322
2,PETERSBURG 2 N ND US,20100103,-194,-289
3,PETERSBURG 2 N ND US,20100104,-167,-200
4,PETERSBURG 2 N ND US,20100105,-133,-167
5,PETERSBURG 2 N ND US,20100106,-133,-172
6,PETERSBURG 2 N ND US,20100107,-150,-278
7,PETERSBURG 2 N ND US,20100108,-233,-328
8,PETERSBURG 2 N ND US,20100109,-233,-322
9,PETERSBURG 2 N ND US,20100110,-117,-244
10,PETERSBURG 2 N ND US,20100111,-67,-128
11,PETERSBURG 2 N ND US,20100112,-78,-122
12,PETERSBURG 2 N ND US,20100113,-17,-89
13,PETERSBURG 2 N ND US,20100114,39,-72
14,PETERSBURG 2 N ND US,20100115,-67,-72
15,PETERSBURG 2 N ND US,20100116,22,-50
16,PETERSBURG 2 N ND US,20100117,33,-44
17,PETERSBURG 2 N ND US,20100118,6,-172
18,PETERSBURG 2 N ND US,20100119,-56,-183
19,PETERSBURG 2 N ND US,20100120,-67,-139
20,PETERSBURG 2 N ND US,20100121,-67,-94
21,PETERSBURG 2 N ND US,20100122,-44,-67
22,PETERSBURG 2 N ND US,20100123,-6,-44
23,PETERSBURG 2 N ND US,20100124,0,-11
24,PETERSBURG 2 N ND US,20100125,-11,-161
25,PETERSBURG 2 N ND US,20100126,-161,-233
26,PETERSBURG 2 N ND US,20100127,-167,-222
27,PETERSBURG 2 N ND US,20100128,-167,-283
28,PETERSBURG 2 N ND US,20100129,-189,-283
29,PETERSBURG 2 N ND US,20100130,-156,-267
30,PETERSBURG 2 N ND US,20100131,-150,-272
